GHCN_ID,month,day,hour,MAM-TAVG-NORMAL,meas_flag_MAM-TAVG-NORMAL,comp_flag_MAM-TAVG-NORMAL,years_MAM-TAVG-NORMAL,MAM-TMIN-NORMAL,meas_flag_MAM-TMIN-NORMAL,comp_flag_MAM-TMIN-NORMAL,years_MAM-TMIN-NORMAL,MAM-TMAX-NORMAL,meas_flag_MAM-TMAX-NORMAL,comp_flag_MAM-TMAX-NORMAL,years_MAM-TMAX-NORMAL,MAM-DUTR-NORMAL,meas_flag_MAM-DUTR-NORMAL,comp_flag_MAM-DUTR-NORMAL,years_MAM-DUTR-NORMAL
USC00282023,99,99,99,    52.2, ,R,18,    42.8, ,R,18,    61.7, ,R,23,    18.9, ,R,18
USC00282768,99,99,99,    50.4, ,R,14,    39.4, ,R,16,    61.4, ,R,14,    22.0, ,R,14
USC00282805,99,99,99,    52.3, ,S,28,    41.0, ,S,28,    63.7, ,S,30,    22.7, ,S,28
USC00283029,99,99,99,    50.1, ,S,27,    38.8, ,S,27,    61.5, ,S,30,    22.7, ,S,27
USC00283181,99,99,99,    51.6, ,R,21,    41.0, ,R,21,    62.1, ,R,21,    21.1, ,R,21
USC00283291,99,99,99,    52.4, ,R,11,    42.2, ,R,11,    62.7, ,R,11,    20.5, ,R,11
USC00283662,99,99,99,    52.0, ,R,16,    41.0, ,R,16,    63.0, ,R,16,    21.9, ,R,16
USC00283704,99,99,99,    52.2, ,R,15,    43.1, ,R,15,    61.3, ,R,20,    18.2, ,R,15
USC00283951,99,99,99,    50.6, ,S,27,    39.0, ,S,27,    62.2, ,S,30,    23.1, ,S,27
USC00284229,99,99,99,    52.2, ,S,26,    40.3, ,S,26,    64.1, ,S,30,    23.8, ,S,26
USC00284635,99,99,99,    51.4, ,R,10,    39.3, ,R,10,    63.5, ,R,11,    24.2, ,R,10
USC00284887,99,99,99,    51.1, ,R,11,    40.4, ,R,11,    61.9, ,R,11,    21.5, ,R,11
USC00284987,99,99,99,    50.1, ,R,20,    41.4, ,R,20,    58.8, ,R,20,    17.5, ,R,20
